127.0.0.1, 2014-09-05 21:06:46, GET, /calender/static/css/superfish.css, HTTP/1.1, 200, 0.000406
127.0.0.1, 2014-09-05 21:06:46, GET, /calender/static/js/superfish.js, HTTP/1.1, 200, 0.000520
127.0.0.1, 2014-09-05 21:06:46, GET, /calender/static/css/web2py.css, HTTP/1.1, 200, 0.004607
127.0.0.1, 2014-09-05 21:06:46, GET, /calender/static/images/poweredby.png, HTTP/1.1, 200, 0.000398
127.0.0.1, 2014-09-05 21:06:46, GET, /calender/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001261
127.0.0.1, 2014-09-05 21:06:46, GET, /calender/static/images/arrows-ffffff.png, HTTP/1.1, 200, 0.000405
127.0.0.1, 2014-09-05 21:06:46, GET, /calender/static/images/shadow.png, HTTP/1.1, 200, 0.001114
127.0.0.1, 2014-09-05 21:06:47, GET, /calender/static/favicon.ico, HTTP/1.1, 200, 0.001166
127.0.0.1, 2014-09-05 21:07:02, GET, /calender/models/main, HTTP/1.1, 404, 0.013250
127.0.0.1, 2014-09-05 21:07:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000634
127.0.0.1, 2014-09-05 21:07:05, GET, /calender/, HTTP/1.1, 200, 0.018015
127.0.0.1, 2014-09-05 21:07:15, GET, /calender/, HTTP/1.1, 200, 0.025437
127.0.0.1, 2014-09-05 21:07:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000324
127.0.0.1, 2014-09-05 21:07:17, GET, /calender/, HTTP/1.1, 200, 0.021900
127.0.0.1, 2014-09-05 21:07:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000382
127.0.0.1, 2014-09-05 21:07:18, GET, /calender/, HTTP/1.1, 200, 0.021021
127.0.0.1, 2014-09-05 21:07:20, GET, /calender/, HTTP/1.1, 200, 0.019734
127.0.0.1, 2014-09-05 21:07:46, GET, /admin/default/peek/calender/controllers/default.py, HTTP/1.1, 200, 0.020631
127.0.0.1, 2014-09-05 21:07:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000492
127.0.0.1, 2014-09-05 21:07:57, GET, /calender/, HTTP/1.1, 200, 0.015550
127.0.0.1, 2014-09-05 21:08:00, GET, /admin/default/index, HTTP/1.1, 303, 0.007438
127.0.0.1, 2014-09-05 21:08:00, GET, /admin/default/site, HTTP/1.1, 200, 0.022617
127.0.0.1, 2014-09-05 21:08:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000753
127.0.0.1, 2014-09-05 21:08:01, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.844587
127.0.0.1, 2014-09-05 21:08:06, GET, /admin/default/compile_app/calender, HTTP/1.1, 303, 0.066476
127.0.0.1, 2014-09-05 21:08:06, GET, /admin/default/site, HTTP/1.1, 200, 0.030128
127.0.0.1, 2014-09-05 21:08:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000365
127.0.0.1, 2014-09-05 21:08:09, GET, /calender/default/index, HTTP/1.1, 200, 0.012574
127.0.0.1, 2014-09-05 21:08:12, GET, /admin/default/site, HTTP/1.1, 200, 0.029599
127.0.0.1, 2014-09-05 21:08:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000239
127.0.0.1, 2014-09-05 21:08:15, GET, /calender/default/index, HTTP/1.1, 200, 0.013498
127.0.0.1, 2014-09-05 21:08:17, GET, /admin/default/site, HTTP/1.1, 200, 0.031426
127.0.0.1, 2014-09-05 21:08:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000362
127.0.0.1, 2014-09-05 21:08:17, GET, /admin/default/twitter.load, HTTP/1.1, 200, 10.830396
127.0.0.1, 2014-09-05 21:08:20, GET, /admin/default/remove_compiled_app/calender, HTTP/1.1, 303, 0.021859
127.0.0.1, 2014-09-05 21:08:20, GET, /admin/default/site, HTTP/1.1, 200, 0.022730
127.0.0.1, 2014-09-05 21:08:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000328
127.0.0.1, 2014-09-05 21:08:21, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.846225
127.0.0.1, 2014-09-05 21:08:23, GET, /admin/default/design/calender, HTTP/1.1, 200, 0.043344
127.0.0.1, 2014-09-05 21:08:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000312
127.0.0.1, 2014-09-05 21:08:27, GET, /admin/default/twitter.load, HTTP/1.1, 200, 10.841972
127.0.0.1, 2014-09-05 21:08:47, GET, /admin/default/site, HTTP/1.1, 200, 0.023678
127.0.0.1, 2014-09-05 21:08:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000308
127.0.0.1, 2014-09-05 21:08:48, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.859565
127.0.0.1, 2014-09-05 21:08:58, GET, /calender/default/index, HTTP/1.1, 200, 0.017695
127.0.0.1, 2014-09-05 21:09:01, GET, /admin/default/site, HTTP/1.1, 200, 0.026863
127.0.0.1, 2014-09-05 21:09:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000241
127.0.0.1, 2014-09-05 21:09:02, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.825004
127.0.0.1, 2014-09-05 21:09:05, GET, /calender/default/index, HTTP/1.1, 200, 0.015824
127.0.0.1, 2014-09-05 21:09:17, GET, /calender/controllers/default, HTTP/1.1, 404, 0.012299
127.0.0.1, 2014-09-05 21:09:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000483
127.0.0.1, 2014-09-05 21:09:20, GET, /calender/default/index, HTTP/1.1, 200, 0.017858
127.0.0.1, 2014-09-05 21:09:20, GET, /admin/default/site, HTTP/1.1, 200, 0.035336
127.0.0.1, 2014-09-05 21:09:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000264
127.0.0.1, 2014-09-05 21:09:21, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.906246
127.0.0.1, 2014-09-05 21:09:22, GET, /calender/default/index, HTTP/1.1, 200, 0.017086
127.0.0.1, 2014-09-05 21:10:20, GET, /admin/default/twitter.load, HTTP/1.1, 200, 128.317698
127.0.0.1, 2014-09-05 21:12:53, GET, /admin/default/site, HTTP/1.1, 200, 0.023129
127.0.0.1, 2014-09-05 21:12:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000216
127.0.0.1, 2014-09-05 21:12:57, GET, /calender/default/index, HTTP/1.1, 200, 0.016972
127.0.0.1, 2014-09-05 21:12:59, GET, /admin/default/site, HTTP/1.1, 200, 0.027417
127.0.0.1, 2014-09-05 21:12:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000231
127.0.0.1, 2014-09-05 21:13:00, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.982449
127.0.0.1, 2014-09-05 21:13:00, GET, /admin/default/design/calender, HTTP/1.1, 200, 0.069472
127.0.0.1, 2014-09-05 21:13:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000445
127.0.0.1, 2014-09-05 21:13:06, GET, /admin/default/peek/calender/controllers/default.py, HTTP/1.1, 200, 0.022740
127.0.0.1, 2014-09-05 21:13:07, GET, /favicon.ico, HTTP/1.1, 400, 0.001242
127.0.0.1, 2014-09-05 21:13:09, GET, /admin/default/edit/calender/controllers/default.py, HTTP/1.1, 200, 0.025898
127.0.0.1, 2014-09-05 21:13:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000290
127.0.0.1, 2014-09-05 21:13:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000514
127.0.0.1, 2014-09-05 21:13:09, GET, /admin/default/twitter.load, HTTP/1.1, 200, 15.904487
127.0.0.1, 2014-09-05 21:13:19, GET, /admin/default/keepalive, HTTP/1.1, 200, 0.016555
127.0.0.1, 2014-09-05 21:24:53, POST, /admin/default/edit/calender/controllers/default.py, HTTP/1.1, 200, 0.023784
127.0.0.1, 2014-09-05 21:25:06, GET, /calender/, HTTP/1.1, 200, 0.017347
127.0.0.1, 2014-09-05 21:25:11, GET, /admin/default/peek/calender/controllers/default.py, HTTP/1.1, 200, 0.020242
127.0.0.1, 2014-09-05 21:25:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000554
127.0.0.1, 2014-09-05 21:25:15, GET, /calender/, HTTP/1.1, 200, 0.018698
127.0.0.1, 2014-09-05 21:25:20, GET, /admin/default/peek/calender/views/default/index.html, HTTP/1.1, 200, 0.025761
127.0.0.1, 2014-09-05 21:25:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000379
127.0.0.1, 2014-09-05 21:25:23, GET, /calender/, HTTP/1.1, 200, 0.015586
127.0.0.1, 2014-09-05 21:25:38, GET, /calender/controllers/default, HTTP/1.1, 404, 0.010803
127.0.0.1, 2014-09-05 21:25:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000258
127.0.0.1, 2014-09-05 21:25:40, GET, /calender/, HTTP/1.1, 200, 0.019896
127.0.0.1, 2014-09-05 21:26:04, GET, /calender/event_show, HTTP/1.1, 404, 0.013913
127.0.0.1, 2014-09-05 21:26:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000717
127.0.0.1, 2014-09-05 21:26:08, GET, /calender/, HTTP/1.1, 200, 0.021147
127.0.0.1, 2014-09-05 21:28:07, GET, /calender/show_event, HTTP/1.1, 404, 0.011940
127.0.0.1, 2014-09-05 21:28:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000582
127.0.0.1, 2014-09-05 21:28:12, GET, /calender/, HTTP/1.1, 200, 0.022632
127.0.0.1, 2014-09-05 21:28:16, GET, /calender/default, HTTP/1.1, 200, 0.021431
127.0.0.1, 2014-09-05 21:28:23, GET, /calender/default/show_event, HTTP/1.1, 404, 0.014637
127.0.0.1, 2014-09-05 21:28:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000578
127.0.0.1, 2014-09-05 21:28:26, GET, /calender/default, HTTP/1.1, 200, 0.023671
127.0.0.1, 2014-09-05 21:28:53, GET, /calender/, HTTP/1.1, 200, 0.017428
127.0.0.1, 2014-09-05 21:28:56, GET, /admin/default/index, HTTP/1.1, 303, 0.004508
127.0.0.1, 2014-09-05 21:28:56, GET, /admin/default/site, HTTP/1.1, 200, 0.023555
127.0.0.1, 2014-09-05 21:28:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000345
127.0.0.1, 2014-09-05 21:29:00, GET, /admin/default/design/calender, HTTP/1.1, 200, 0.048171
127.0.0.1, 2014-09-05 21:29:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000379
127.0.0.1, 2014-09-05 21:29:07, GET, /calender/default/event_show, HTTP/1.1, 500, 0.145995
127.0.0.1, 2014-09-05 21:29:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000384
127.0.0.1, 2014-09-05 21:29:07, GET, /admin/default/twitter.load, HTTP/1.1, 200, 10.956598
127.0.0.1, 2014-09-05 21:29:13, GET, /admin/default/ticket/calender/127.0.0.1.2014-09-05.21-29-07.4a8f4b34-e0e1-4a77-8be5-7a9f80d8d4cd, HTTP/1.1, 200, 0.046261
127.0.0.1, 2014-09-05 21:29:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000248
127.0.0.1, 2014-09-05 21:30:02, GET, /admin/default/design/calender, HTTP/1.1, 200, 0.047628
127.0.0.1, 2014-09-05 21:30:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000347
127.0.0.1, 2014-09-05 21:30:06, GET, /admin/default/edit/calender/controllers/default.py, HTTP/1.1, 200, 0.022473
127.0.0.1, 2014-09-05 21:30:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000349
127.0.0.1, 2014-09-05 21:30:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000503
127.0.0.1, 2014-09-05 21:30:16, GET, /admin/default/keepalive, HTTP/1.1, 200, 0.013168
127.0.0.1, 2014-09-05 21:33:02, GET, /calender/, HTTP/1.1, 200, 0.016327
127.0.0.1, 2014-09-05 21:33:09, GET, /calender/default/event_show, HTTP/1.1, 500, 0.013198
127.0.0.1, 2014-09-05 21:33:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000268
